Disease,MealType,FoodName,DietType,Cuisine,Calories,Protein (g),Carbs (g),Fats (g),Ingredients,PreparationSteps,HealthNotes
Hypertension,Snack,Baked Cod with Herbs,Pescatarian,Continental,341,20.3,78.9,11.0,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure."
Hypertension,Breakfast,Salmon Teriyaki (light),Pescatarian,Asian,535,26.1,64.3,27.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure."
GERD,Breakfast,Rice Noodle Salad,Vegan,Asian,406,37.2,89.6,9.8,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux."
Thyroid,Snack,Avocado Toast with Seeds,Vegetarian,Continental,647,31.5,66.4,12.0,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Balanced iodine and selenium sources, moderate calories to support metabolic health."
Heart Disease,Dinner,Miso Soup with Greens,Vegetarian,Asian,477,29.5,80.5,11.0,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
Gastritis,Dinner,Tabbouleh with quinoa,Vegan,Mediterranean,270,22.7,86.1,9.7,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Soothing, low-acid, non-irritant foods; easily digestible preparations."
Celiac Disease,Dinner,Rice Noodle Salad,Vegan,Asian,495,22.1,85.5,26.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
Fatty Liver,Snack,Baked Herb Salmon,Non-Vegetarian,Mediterranean,254,6.1,82.6,11.3,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
High Cholesterol,Dinner,Chickpea Salad,Vegetarian,Mediterranean,400,37.6,48.7,16.2,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",High soluble fiber and lean proteins to reduce LDL cholesterol.
Celiac Disease,Lunch,Tuna Salad (olive oil dressing),Pescatarian,Continental,610,24.9,16.7,20.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
High Cholesterol,Dinner,Lemon Herb Fish and mixed veggies,Pescatarian,Mediterranean,633,20.4,59.6,3.8,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",High soluble fiber and lean proteins to reduce LDL cholesterol.
Fatty Liver,Lunch,Tuna Salad (olive oil dressing) with quinoa,Pescatarian,Continental,488,36.8,58.8,23.6,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Heart Disease,Lunch,Tofu Stir Fry,Vegetarian,Asian,468,34.3,74.6,13.8,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
PCOS,Snack,Tuna Salad (olive oil dressing) and mixed veggies,Pescatarian,Continental,214,20.3,34.5,27.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.
High Cholesterol,Breakfast,Turkey Salad,Non-Vegetarian,Continental,171,35.1,65.6,23.1,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",High soluble fiber and lean proteins to reduce LDL cholesterol.
Thyroid,Lunch,Tofu Stir Fry with spinach,Vegetarian,Asian,338,20.5,49.2,4.5,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.","Balanced iodine and selenium sources, moderate calories to support metabolic health."
High Cholesterol,Lunch,Grilled Vegetable Platter,Vegetarian,Mediterranean,170,23.8,27.3,21.9,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",High soluble fiber and lean proteins to reduce LDL cholesterol.
Celiac Disease,Dinner,Fish Curry (light),Non-Vegetarian,Indian,405,16.2,25.9,27.7,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
High Cholesterol,Lunch,Stir-fried Tempeh and Veggies,Vegan,Asian,206,29.7,64.5,19.0,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.",High soluble fiber and lean proteins to reduce LDL cholesterol.
High Cholesterol,Breakfast,Egg Bhurji,Non-Vegetarian,Indian,294,7.3,17.3,5.7,"egg whites, spinach, onion, pepper, olive oil spray","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",High soluble fiber and lean proteins to reduce LDL cholesterol.
Obesity,Snack,Mixed Vegetable Sambar,Vegan,Indian,462,17.9,88.2,19.3,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.
Diabetes,Lunch,Grilled Vegetable Platter,Vegetarian,Mediterranean,357,39.5,65.0,19.2,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar."
Heart Disease,Lunch,Lentil Stew,Vegan,Mediterranean,266,30.5,39.9,24.5,"lentils (moong/masoor), onion, tomato, turmeric, cumin, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
Celiac Disease,Dinner,Tabbouleh with quinoa and mixed veggies,Vegan,Mediterranean,283,16.4,54.9,22.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
Diabetes,Lunch,Keema with peas,Non-Vegetarian,Indian,229,29.2,18.2,14.3,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar."
PCOS,Breakfast,Turkey Salad light masala,Non-Vegetarian,Continental,340,12.7,45.1,18.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.
